States,Years,Quarter,RegisteredUsers,Districts,AppOpens
andhra-pradesh,2022,1,2270705,chittoor district,144146671
andhra-pradesh,2022,2,2564165,east godavari district,93383888
andhra-pradesh,2022,2,1086164,srikakulam district,51087942
andhra-pradesh,2022,2,3226029,visakhapatnam district,93552701
andhra-pradesh,2022,2,1487589,prakasam district,108172758
andhra-pradesh,2022,2,1928213,anantapur district,181499094
andhra-pradesh,2022,2,1825280,kurnool district,136447455
andhra-pradesh,2022,2,2514794,guntur district,91997209
andhra-pradesh,2022,2,2552107,krishna district,95341487
andhra-pradesh,2022,2,1509927,spsr nellore district,108755384
andhra-pradesh,2022,2,943242,vizianagaram district,50230853
andhra-pradesh,2022,2,1412848,ysr district,106157470
andhra-pradesh,2022,2,1714357,west godavari district,103338893
andhra-pradesh,2022,2,2392549,chittoor district,158771722
andhra-pradesh,2022,3,2702234,east godavari district,85780890
andhra-pradesh,2022,3,1147016,srikakulam district,46323107
andhra-pradesh,2022,3,3397514,visakhapatnam district,87888969
andhra-pradesh,2022,3,1567520,prakasam district,114185009
andhra-pradesh,2022,3,2030824,anantapur district,181038520
andhra-pradesh,2022,3,1924127,kurnool district,143715547
andhra-pradesh,2022,3,2647100,guntur district,91146114
andhra-pradesh,2022,3,2685215,krishna district,86220959
andhra-pradesh,2022,3,1588875,spsr nellore district,105928407
andhra-pradesh,2022,3,995141,vizianagaram district,46767889
andhra-pradesh,2022,3,1487140,ysr district,107976611
andhra-pradesh,2022,3,1805967,west godavari district,97509407
andhra-pradesh,2022,3,2517657,chittoor district,162524274
andhra-pradesh,2022,4,2835087,east godavari district,173720880
andhra-pradesh,2022,4,1204785,srikakulam district,72666058
andhra-pradesh,2022,4,3566854,visakhapatnam district,208604256
andhra-pradesh,2022,4,1642503,prakasam district,94432083
andhra-pradesh,2022,4,2128066,anantapur district,136685634
andhra-pradesh,2022,4,2018290,kurnool district,105333688
andhra-pradesh,2022,4,2774365,guntur district,144773169
andhra-pradesh,2022,4,2813645,krishna district,156902257
andhra-pradesh,2022,4,1663684,spsr nellore district,103101986
andhra-pradesh,2022,4,1044490,vizianagaram district,64406405
andhra-pradesh,2022,4,1556901,ysr district,93975668
andhra-pradesh,2022,4,1893310,west godavari district,129116752
andhra-pradesh,2022,4,2636036,chittoor district,189655966
andhra-pradesh,2023,1,2965296,east godavari district,98931582
andhra-pradesh,2023,1,1263204,srikakulam district,48743038
andhra-pradesh,2023,1,3732544,visakhapatnam district,107253885
andhra-pradesh,2023,1,1719910,prakasam district,112502189
andhra-pradesh,2023,1,2228505,anantapur district,177793392
andhra-pradesh,2023,1,2114023,kurnool district,149581663
andhra-pradesh,2023,1,2900895,guntur district,103514892
andhra-pradesh,2023,1,2941585,krishna district,98727644
andhra-pradesh,2023,1,1740294,spsr nellore district,111993275
andhra-pradesh,2023,1,1094782,vizianagaram district,55519223
andhra-pradesh,2023,1,1628595,ysr district,109842928
andhra-pradesh,2023,1,1980446,west godavari district,102965151
andhra-pradesh,2023,1,2755784,chittoor district,164669558
andhra-pradesh,2023,2,3082893,east godavari district,101375784
andhra-pradesh,2023,2,1317771,srikakulam district,48040159
andhra-pradesh,2023,2,3877504,visakhapatnam district,115516314
andhra-pradesh,2023,2,1792637,prakasam district,104288559
andhra-pradesh,2023,2,2323796,anantapur district,164437247
andhra-pradesh,2023,2,2202517,kurnool district,142843895
andhra-pradesh,2023,2,3014655,guntur district,97915941
andhra-pradesh,2023,2,3054956,krishna district,99723659
andhra-pradesh,2023,2,1811781,spsr nellore district,113350865
andhra-pradesh,2023,2,1141578,vizianagaram district,55405616
andhra-pradesh,2023,2,1694843,ysr district,98586928
andhra-pradesh,2023,2,2059880,west godavari district,116005083
andhra-pradesh,2023,2,2865250,chittoor district,170462384
andhra-pradesh,2023,3,3211557,east godavari district,83823834
andhra-pradesh,2023,3,1375950,srikakulam district,44064462
andhra-pradesh,2023,3,4035323,visakhapatnam district,116087299
andhra-pradesh,2023,3,1868997,prakasam district,94303883
andhra-pradesh,2023,3,2421293,anantapur district,152875757
andhra-pradesh,2023,3,2295754,kurnool district,124493256
andhra-pradesh,2023,3,3137289,guntur district,71855007
andhra-pradesh,2023,3,3177643,krishna district,73280755
andhra-pradesh,2023,3,1887005,spsr nellore district,73583227
andhra-pradesh,2023,3,1190571,vizianagaram district,41978556
andhra-pradesh,2023,3,1764648,ysr district,78787151
andhra-pradesh,2023,3,2146530,west godavari district,73274852
andhra-pradesh,2023,3,2981337,chittoor district,129032458
arunachal-pradesh,2018,1,498,lower subansiri district,0
arunachal-pradesh,2018,1,557,tirap district,0
arunachal-pradesh,2018,1,7649,papum pare district,0
arunachal-pradesh,2018,1,278,anjaw district,0
arunachal-pradesh,2018,1,270,lower siang district,0
arunachal-pradesh,2018,1,66,dibang valley district,0
arunachal-pradesh,2018,1,2202,west kameng district,0
arunachal-pradesh,2018,1,49,shi yomi district,0
arunachal-pradesh,2018,1,222,east kameng district,0
arunachal-pradesh,2018,1,1207,lohit district,0
arunachal-pradesh,2018,1,210,lepa rada district,0
arunachal-pradesh,2018,1,601,lower dibang valley district,0
arunachal-pradesh,2018,1,256,longding district,0
arunachal-pradesh,2018,1,846,west siang district,0
arunachal-pradesh,2018,1,22,kamle district,0
