States,Years,Quarter,Transaction_Type,Transaction_Amount,Transaction_Count
arunachal-pradesh,2020,2,Recharge & bill payments,145198528.22961134,522495
arunachal-pradesh,2020,2,Peer-to-peer payments,1630654426.0441835,247861
arunachal-pradesh,2020,2,Merchant payments,46446966.612447515,35169
arunachal-pradesh,2020,2,Financial Services,2655507.6964110374,1310
arunachal-pradesh,2020,2,Others,1761404.4023099935,1939
arunachal-pradesh,2020,3,Recharge & bill payments,153463816.21184397,514907
arunachal-pradesh,2020,3,Peer-to-peer payments,2361603431.37578,370418
arunachal-pradesh,2020,3,Merchant payments,88145178.69272713,72736
arunachal-pradesh,2020,3,Financial Services,4030599.9171272423,1761
arunachal-pradesh,2020,3,Others,2695539.3607389224,3005
arunachal-pradesh,2020,4,Peer-to-peer payments,3254744938.4105625,522019
arunachal-pradesh,2020,4,Recharge & bill payments,152389181.21743062,513895
arunachal-pradesh,2020,4,Merchant payments,156682926.02384603,167387
arunachal-pradesh,2020,4,Financial Services,2391651.8783250954,1749
arunachal-pradesh,2020,4,Others,4055324.315454754,4079
arunachal-pradesh,2021,1,Peer-to-peer payments,3460488558.9436507,566209
arunachal-pradesh,2021,1,Recharge & bill payments,142358376.9003836,450649
arunachal-pradesh,2021,1,Merchant payments,204958020.0891498,155966
arunachal-pradesh,2021,1,Financial Services,2672460.4740365944,1558
arunachal-pradesh,2021,1,Others,3301662.6094231335,3074
arunachal-pradesh,2021,2,Peer-to-peer payments,4000960152.0755496,762946
arunachal-pradesh,2021,2,Recharge & bill payments,165579844.25105897,556680
arunachal-pradesh,2021,2,Merchant payments,283709438.5363142,243375
arunachal-pradesh,2021,2,Financial Services,2761076.7934988844,1582
arunachal-pradesh,2021,2,Others,3415105.3379601175,3755
arunachal-pradesh,2021,3,Peer-to-peer payments,5033603845.032885,986088
arunachal-pradesh,2021,3,Recharge & bill payments,187390578.30403775,600102
arunachal-pradesh,2021,3,Merchant payments,449869060.7842621,314658
arunachal-pradesh,2021,3,Financial Services,3348547.8272713376,1934
arunachal-pradesh,2021,3,Others,3912143.3503634185,4185
arunachal-pradesh,2021,4,Peer-to-peer payments,6022733378.120082,1227616
arunachal-pradesh,2021,4,Recharge & bill payments,207784816.33218512,633248
arunachal-pradesh,2021,4,Merchant payments,704195694.9939187,521447
arunachal-pradesh,2021,4,Financial Services,3933557.2795471298,2386
arunachal-pradesh,2021,4,Others,4862905.885615055,5901
arunachal-pradesh,2022,1,Peer-to-peer payments,6670641250.45945,1403584
arunachal-pradesh,2022,1,Merchant payments,917155358.7177179,720803
arunachal-pradesh,2022,1,Recharge & bill payments,231933129.00412333,670576
arunachal-pradesh,2022,1,Financial Services,3359625.792926075,3053
arunachal-pradesh,2022,1,Others,5002264.113148138,6052
arunachal-pradesh,2022,2,Peer-to-peer payments,7627061474.687715,1751568
arunachal-pradesh,2022,2,Merchant payments,1255513517.3639429,1108353
arunachal-pradesh,2022,2,Recharge & bill payments,241162643.19480157,688770
arunachal-pradesh,2022,2,Financial Services,4063469.0998270046,2466
arunachal-pradesh,2022,2,Others,3864269.879579009,5768
arunachal-pradesh,2022,3,Peer-to-peer payments,7365427284.274204,1967086
arunachal-pradesh,2022,3,Merchant payments,1413247143.4889917,1316326
arunachal-pradesh,2022,3,Recharge & bill payments,238448083.80779752,649322
arunachal-pradesh,2022,3,Financial Services,4763324.776043448,1997
arunachal-pradesh,2022,3,Others,3224948.7015704075,4687
arunachal-pradesh,2022,4,Peer-to-peer payments,7768088687.67791,2251135
arunachal-pradesh,2022,4,Merchant payments,1669602212.9174638,1704968
arunachal-pradesh,2022,4,Recharge & bill payments,239412553.61214688,669151
arunachal-pradesh,2022,4,Financial Services,3785469.3993366556,2617
arunachal-pradesh,2022,4,Others,4020773.8953960314,4838
arunachal-pradesh,2023,1,Peer-to-peer payments,13170741327.0,3879583
arunachal-pradesh,2023,1,Merchant payments,2802762028.0,2922784
arunachal-pradesh,2023,1,Recharge & bill payments,409663161.0,1229475
arunachal-pradesh,2023,1,Financial Services,6310412.0,4142
arunachal-pradesh,2023,1,Others,5101526.0,6841
arunachal-pradesh,2023,2,Peer-to-peer payments,15695323405.0,4883817
arunachal-pradesh,2023,2,Merchant payments,3651614280.0,4091876
arunachal-pradesh,2023,2,Recharge & bill payments,447452168.0,1374689
arunachal-pradesh,2023,2,Financial Services,5815474.0,3392
arunachal-pradesh,2023,2,Others,5493337.0,6714
arunachal-pradesh,2023,3,Peer-to-peer payments,16351752522.0,5889357
